ID,date,days,width
ID_53,3/16/16,190,54
ID_55,12/18/15,101,33
ID_55,1/20/16,134,48
ID_55,2/17/16,162,48
ID_55,3/16/16,190,45.5
ID_56,12/18/15,101,42.5
ID_56,1/20/16,134,50
ID_56,2/17/16,162,56.5
ID_56,3/16/16,190,59.5
ID_57,12/18/15,101,43
ID_57,1/20/16,134,52.5
ID_57,2/17/16,162,77
ID_57,3/16/16,190,77
ID_58,12/18/15,101,33
ID_58,1/20/16,134,41.5
ID_58,2/17/16,162,52
ID_58,3/16/16,190,52
ID_59,12/18/15,101,46
ID_59,1/20/16,134,51
ID_59,2/17/16,162,55.5
ID_59,3/16/16,190,56.5
ID_6,12/18/15,101,28.5
ID_6,1/20/16,134,41
ID_6,2/17/16,162,58.5
ID_6,3/16/16,190,62.5
ID_60,12/18/15,101,53.5
ID_60,1/20/16,134,59
ID_60,2/17/16,162,69
ID_60,3/16/16,190,69
ID_61,12/18/15,101,41
ID_61,1/20/16,134,51.5
ID_61,2/17/16,162,55.5
ID_61,3/16/16,190,55.5
ID_62,12/18/15,101,18
ID_62,1/20/16,134,38.5
ID_62,2/17/16,162,38.5
ID_62,3/16/16,190,37
ID_63,12/18/15,101,30
ID_63,1/20/16,134,57
ID_63,2/17/16,162,58
ID_63,3/16/16,190,58.5
ID_64,12/18/15,101,38
ID_64,1/20/16,134,54
ID_64,2/17/16,162,61.5
ID_64,3/16/16,190,64
ID_65,12/18/15,101,50
ID_65,1/20/16,134,66.5
ID_65,2/17/16,162,68
ID_65,3/16/16,190,70
ID_67,12/18/15,101,56.5
ID_67,1/20/16,134,61.5
ID_67,2/17/16,162,73.5
ID_67,3/16/16,190,73.5
ID_68,12/18/15,101,39.5
ID_68,1/20/16,134,49
ID_68,2/17/16,162,59.5
ID_68,3/16/16,190,59.5
ID_69,12/18/15,101,24
ID_69,1/20/16,134,31
ID_69,2/17/16,162,50
ID_69,3/16/16,190,50
ID_7,12/18/15,101,49.5
ID_7,1/20/16,134,51
ID_7,2/17/16,162,52
ID_7,3/16/16,190,70.5
ID_72,12/18/15,101,21.5
ID_72,1/20/16,134,35
ID_72,2/17/16,162,54.5
ID_72,3/16/16,190,54.5
ID_73,12/18/15,101,43
ID_73,1/20/16,134,51.5
ID_73,2/17/16,162,66
ID_73,3/16/16,190,66
ID_74,12/18/15,101,46
ID_74,1/20/16,134,57.5
ID_74,2/17/16,162,71
ID_74,3/16/16,190,71
ID_75,12/18/15,101,21
ID_75,1/20/16,134,34.5
ID_75,2/17/16,162,54
ID_75,3/16/16,190,54
ID_76,12/18/15,101,40
ID_76,1/20/16,134,48.5
ID_76,2/17/16,162,66.5
ID_76,3/16/16,190,66.5
ID_77,12/18/15,101,33.5
ID_77,1/20/16,134,43
ID_77,2/17/16,162,51.5
ID_77,3/16/16,190,51.5
ID_78,12/18/15,101,45
ID_78,1/20/16,134,49.5
ID_78,2/17/16,162,72.5
ID_78,3/16/16,190,72.5
ID_79,12/18/15,101,41
ID_79,1/20/16,134,63.5
ID_79,2/17/16,162,69
ID_79,3/16/16,190,78
ID_8,12/18/15,101,33
ID_8,1/20/16,134,43.5
ID_8,2/17/16,162,57
ID_8,3/16/16,190,57
ID_80,12/18/15,101,43.5
ID_80,1/20/16,134,48.5
ID_80,2/17/16,162,68
ID_80,3/16/16,190,74.5
ID_81,12/18/15,101,29
ID_81,1/20/16,134,38
ID_81,2/17/16,162,60
ID_81,3/16/16,190,60
ID_82,12/18/15,101,28
ID_82,1/20/16,134,45
ID_82,2/17/16,162,59.5
ID_82,3/16/16,190,59.5
ID_84,12/18/15,101,59
ID_84,1/20/16,134,71
ID_84,2/17/16,162,71
ID_84,3/16/16,190,71
ID_85,12/18/15,101,39
ID_85,1/20/16,134,46.5
ID_85,2/17/16,162,54.5
ID_85,3/16/16,190,54.5
ID_86,12/18/15,101,47
ID_86,1/20/16,134,50.5
ID_86,2/17/16,162,61.5
ID_86,3/16/16,190,61.5
ID_87,12/18/15,101,42
ID_87,1/20/16,134,63.5
ID_87,2/17/16,162,65
ID_87,3/16/16,190,65
ID_88,12/18/15,101,24.5
ID_88,1/20/16,134,43.5
ID_88,2/17/16,162,61.5
ID_88,3/16/16,190,67.5
ID_89,12/18/15,101,37.5
ID_89,1/20/16,134,50.5
ID_89,2/17/16,162,70
ID_89,3/16/16,190,70
ID_9,12/18/15,101,36.5
ID_9,1/20/16,134,57.5
ID_9,2/17/16,162,59
ID_9,3/16/16,190,59
ID_90,12/18/15,101,43
ID_90,1/20/16,134,50.5
ID_90,2/17/16,162,58.5
ID_90,3/16/16,190,58.5
ID_91,12/18/15,101,31.5
ID_91,1/20/16,134,45
ID_91,2/17/16,162,56.5
ID_91,3/16/16,190,56.5
ID_92,12/18/15,101,42
ID_92,1/20/16,134,55
ID_92,2/17/16,162,65.5
ID_92,3/16/16,190,65.5
ID_94,12/18/15,101,45
ID_94,1/20/16,134,51
ID_94,2/17/16,162,63
ID_94,3/16/16,190,63
ID_95,12/18/15,101,59.5
ID_95,1/20/16,134,61
ID_95,2/17/16,162,63
ID_95,3/16/16,190,63
ID_96,12/18/15,101,61.5
ID_96,1/20/16,134,68
ID_96,2/17/16,162,76.5
ID_96,3/16/16,190,76.5
ID_98,12/18/15,101,51
ID_98,1/20/16,134,60
ID_98,2/17/16,162,70.5
ID_98,3/16/16,190,70.5
ID_99,12/18/15,101,38
ID_99,1/20/16,134,56.5
ID_99,2/17/16,162,64.5
ID_99,3/16/16,190,64.5
ID_138,12/18/15,101,69
ID_138,1/20/16,134,69
ID_138,2/17/16,162,69
ID_138,3/16/16,190,69
ID_144,12/18/15,101,74.5
ID_144,1/20/16,134,74.5
ID_144,2/17/16,162,74.5
ID_144,3/16/16,190,74.5
ID_192,12/18/15,101,9
ID_192,1/20/16,134,57
ID_192,2/17/16,162,57
ID_192,3/16/16,190,57
ID_139,12/18/15,101,58
ID_139,1/20/16,134,60
ID_139,2/17/16,162,61
ID_139,3/16/16,190,62
Da_Ol1,12/18/15,101,22
Da_Ol1,1/20/16,134,47
Da_Ol1,2/17/16,162,49
Da_Ol1,3/16/16,190,51
Da_Ae,12/18/15,101,36
Da_Ae,1/20/16,134,55
Da_Ae,2/17/16,162,82
Da_Ae,3/16/16,190,82
F1,12/18/15,101,41
F1,1/20/16,134,53
F1,2/17/16,162,85
F1,3/16/16,190,85
