"ID","date","days","width"
"ID_6",2015-12-18,101,28.5
"ID_6",2016-01-20,134,41
"ID_6",2016-02-17,162,58.5
"ID_6",2016-03-16,190,62.5
"ID_60",2015-12-18,101,53.5
"ID_60",2016-01-20,134,59
"ID_60",2016-02-17,162,69
"ID_60",2016-03-16,190,65
"ID_61",2015-12-18,101,41
"ID_61",2016-01-20,134,51.5
"ID_61",2016-02-17,162,55.5
"ID_61",2016-03-16,190,47
"ID_62",2015-12-18,101,18
"ID_62",2016-01-20,134,38.5
"ID_62",2016-02-17,162,36.5
"ID_62",2016-03-16,190,37
"ID_63",2015-12-18,101,30
"ID_63",2016-01-20,134,57
"ID_63",2016-02-17,162,56.5
"ID_63",2016-03-16,190,58.5
"ID_64",2015-12-18,101,38
"ID_64",2016-01-20,134,54
"ID_64",2016-02-17,162,61.5
"ID_64",2016-03-16,190,64
"ID_65",2015-12-18,101,50
"ID_65",2016-01-20,134,66.5
"ID_65",2016-02-17,162,63.5
"ID_65",2016-03-16,190,70
"ID_67",2015-12-18,101,56.5
"ID_67",2016-01-20,134,61.5
"ID_67",2016-02-17,162,73.5
"ID_67",2016-03-16,190,66
"ID_68",2015-12-18,101,39.5
"ID_68",2016-01-20,134,49
"ID_68",2016-02-17,162,59.5
"ID_68",2016-03-16,190,58
"ID_69",2015-12-18,101,24
"ID_69",2016-01-20,134,31
"ID_69",2016-02-17,162,50
"ID_69",2016-03-16,190,43.5
"ID_7",2015-12-18,101,49.5
"ID_7",2016-01-20,134,46.5
"ID_7",2016-02-17,162,52
"ID_7",2016-03-16,190,70.5
"ID_72",2015-12-18,101,21.5
"ID_72",2016-01-20,134,35
"ID_72",2016-02-17,162,54.5
"ID_72",2016-03-16,190,41.5
"ID_73",2015-12-18,101,43
"ID_73",2016-01-20,134,51.5
"ID_73",2016-02-17,162,66
"ID_73",2016-03-16,190,59
"ID_74",2015-12-18,101,46
"ID_74",2016-01-20,134,57.5
"ID_74",2016-02-17,162,71
"ID_74",2016-03-16,190,53.5
"ID_75",2015-12-18,101,21
"ID_75",2016-01-20,134,34.5
"ID_75",2016-02-17,162,54
"ID_75",2016-03-16,190,39.5
"ID_76",2015-12-18,101,40
"ID_76",2016-01-20,134,48.5
"ID_76",2016-02-17,162,66.5
"ID_76",2016-03-16,190,50.5
"ID_77",2015-12-18,101,33.5
"ID_77",2016-01-20,134,43
"ID_77",2016-02-17,162,51.5
"ID_77",2016-03-16,190,39
"ID_78",2015-12-18,101,45
"ID_78",2016-01-20,134,49.5
"ID_78",2016-02-17,162,72.5
"ID_78",2016-03-16,190,55.5
"ID_79",2015-12-18,101,41
"ID_79",2016-01-20,134,63.5
"ID_79",2016-02-17,162,69
"ID_79",2016-03-16,190,78
"ID_8",2015-12-18,101,33
"ID_8",2016-01-20,134,43.5
"ID_8",2016-02-17,162,57
"ID_8",2016-03-16,190,52
"ID_80",2015-12-18,101,43.5
"ID_80",2016-01-20,134,48.5
"ID_80",2016-02-17,162,68
"ID_80",2016-03-16,190,74.5
"ID_81",2015-12-18,101,29
"ID_81",2016-01-20,134,38
"ID_81",2016-02-17,162,60
"ID_81",2016-03-16,190,46
"ID_82",2015-12-18,101,28
"ID_82",2016-01-20,134,45
"ID_82",2016-02-17,162,59.5
"ID_82",2016-03-16,190,57
"ID_84",2015-12-18,101,59
"ID_84",2016-01-20,134,71
"ID_84",2016-02-17,162,62
"ID_84",2016-03-16,190,55
"ID_85",2015-12-18,101,39
"ID_85",2016-01-20,134,46.5
"ID_85",2016-02-17,162,54.5
"ID_85",2016-03-16,190,47.5
"ID_86",2015-12-18,101,47
"ID_86",2016-01-20,134,50.5
"ID_86",2016-02-17,162,61.5
"ID_86",2016-03-16,190,53.5
"ID_87",2015-12-18,101,42
"ID_87",2016-01-20,134,63.5
"ID_87",2016-02-17,162,65
"ID_87",2016-03-16,190,54
"ID_88",2015-12-18,101,24.5
"ID_88",2016-01-20,134,43.5
"ID_88",2016-02-17,162,61.5
"ID_88",2016-03-16,190,67.5
"ID_89",2015-12-18,101,37.5
"ID_89",2016-01-20,134,50.5
"ID_89",2016-02-17,162,70
"ID_89",2016-03-16,190,59
"ID_9",2015-12-18,101,36.5
"ID_9",2016-01-20,134,57.5
"ID_9",2016-02-17,162,59
"ID_9",2016-03-16,190,51
