"ID","date","days","width","width_raw"
"ID_217",2016-02-17,162,66.5,66.5
"ID_217",2016-03-16,190,66.5,42.5
"ID_223",2015-12-18,101,21.5,21.5
"ID_223",2016-01-20,134,44.5,44.5
"ID_223",2016-02-17,162,70.5,70.5
"ID_223",2016-03-16,190,70.5,59.5
"ID_224",2015-12-18,101,27.5,27.5
"ID_224",2016-01-20,134,44,44
"ID_224",2016-02-17,162,58,58
"ID_224",2016-03-16,190,58,44
"ID_227",2015-12-18,101,26.5,26.5
"ID_227",2016-01-20,134,61,61
"ID_227",2016-02-17,162,69.5,69.5
"ID_227",2016-03-16,190,69.5,54
"ID_23",2015-12-18,101,31,31
"ID_23",2016-01-20,134,41.5,41.5
"ID_23",2016-02-17,162,55,55
"ID_23",2016-03-16,190,72.5,72.5
"ID_231",2015-12-18,101,35,35
"ID_231",2016-01-20,134,59.5,59.5
"ID_231",2016-02-17,162,72.5,72.5
"ID_231",2016-03-16,190,72.5,47.5
"ID_234",2015-12-18,101,24,24
"ID_234",2016-01-20,134,60.5,60.5
"ID_234",2016-02-17,162,70,70
"ID_234",2016-03-16,190,70,69
"ID_24",2015-12-18,101,39,39
"ID_24",2016-01-20,134,55,55
"ID_24",2016-02-17,162,65,65
"ID_24",2016-03-16,190,68.5,68.5
"ID_25",2015-12-18,101,40,40
"ID_25",2016-01-20,134,46.5,46.5
"ID_25",2016-02-17,162,59.5,59.5
"ID_25",2016-03-16,190,59.5,46
"ID_26",2015-12-18,101,25.5,25.5
"ID_26",2016-01-20,134,45,45
"ID_26",2016-02-17,162,62,62
"ID_26",2016-03-16,190,62,57.5
"ID_27",2015-12-18,101,43.5,43.5
"ID_27",2016-01-20,134,63,63
"ID_27",2016-02-17,162,66,66
"ID_27",2016-03-16,190,66,53
"ID_28",2015-12-18,101,25.5,25.5
"ID_28",2016-01-20,134,32.5,32.5
"ID_28",2016-02-17,162,49,49
"ID_28",2016-03-16,190,49,44
"ID_29",2015-12-18,101,41,41
"ID_29",2016-01-20,134,61,61
"ID_29",2016-02-17,162,67,67
"ID_29",2016-03-16,190,67,48.5
"ID_3",2015-12-18,101,23,23
"ID_3",2016-01-20,134,36.5,36.5
"ID_3",2016-02-17,162,73.5,73.5
"ID_3",2016-03-16,190,73.5,60
"ID_30",2015-12-18,101,45,45
"ID_30",2016-01-20,134,55.5,55.5
"ID_30",2016-02-17,162,61.5,61.5
"ID_30",2016-03-16,190,61.5,53.5
"ID_32",2015-12-18,101,44.5,44.5
"ID_32",2016-01-20,134,56.5,56.5
"ID_32",2016-02-17,162,65,65
"ID_32",2016-03-16,190,65,47
"ID_34",2015-12-18,101,25.5,25.5
"ID_34",2016-01-20,134,36.5,36.5
"ID_34",2016-02-17,162,41.5,41.5
"ID_34",2016-03-16,190,41.5,40
"ID_35",2015-12-18,101,38,38
"ID_35",2016-01-20,134,46.5,46.5
"ID_35",2016-02-17,162,60.5,60.5
"ID_35",2016-03-16,190,60.5,45
"ID_36",2015-12-18,101,37.5,37.5
"ID_36",2016-01-20,134,61,61
"ID_36",2016-02-17,162,61,57
"ID_36",2016-03-16,190,61,53.5
"ID_37",2015-12-18,101,49,49
"ID_37",2016-01-20,134,61,61
"ID_37",2016-02-17,162,77,77
"ID_37",2016-03-16,190,77,55
"ID_38",2015-12-18,101,59.5,59.5
"ID_38",2016-01-20,134,72.5,72.5
"ID_38",2016-02-17,162,81.5,81.5
"ID_38",2016-03-16,190,81.5,48.5
"ID_39",2015-12-18,101,32.5,32.5
"ID_39",2016-01-20,134,41.5,41.5
"ID_39",2016-02-17,162,59,59
"ID_39",2016-03-16,190,59,54
"ID_4",2015-12-18,101,63.5,63.5
"ID_4",2016-01-20,134,64.5,64.5
"ID_4",2016-02-17,162,68,46
"ID_4",2016-03-16,190,71.5,71.5
"ID_40",2015-12-18,101,46.5,46.5
"ID_40",2016-01-20,134,54,54
"ID_40",2016-02-17,162,61,61
"ID_40",2016-03-16,190,61,60
"ID_41",2015-12-18,101,35.5,35.5
"ID_41",2016-01-20,134,49,49
"ID_41",2016-02-17,162,60,60
"ID_41",2016-03-16,190,60,43
