"ID","date","days","leaf_number","leaf_number_raw"
"ID_217",2015-12-28,111,23,18
"ID_217",2016-01-21,135,24,24
"ID_217",2016-02-18,163,8,8
"ID_217",2016-03-21,195,8,8
"ID_223",2015-12-28,111,17,15
"ID_223",2016-01-21,135,21,21
"ID_223",2016-02-18,163,6,6
"ID_223",2016-03-21,195,15,8
"ID_224",2015-12-28,111,21,12
"ID_224",2016-01-21,135,18,18
"ID_224",2016-02-18,163,7,7
"ID_224",2016-03-21,195,6,10
"ID_227",2015-12-28,111,11,16
"ID_227",2016-01-21,135,19,19
"ID_227",2016-02-18,163,5,5
"ID_227",2016-03-21,195,4,6
"ID_23",2015-12-28,111,22,17
"ID_23",2016-01-21,135,20,20
"ID_23",2016-02-18,163,14,14
"ID_23",2016-03-21,195,10,10
"ID_231",2015-12-28,111,17,17
"ID_231",2016-01-21,135,9,9
"ID_231",2016-02-18,163,5,5
"ID_231",2016-03-21,195,8,7
"ID_234",2015-12-28,111,22,20
"ID_234",2016-01-21,135,21,21
"ID_234",2016-02-18,163,8,8
"ID_234",2016-03-21,195,8,8
"ID_24",2015-12-28,111,23,17
"ID_24",2016-01-21,135,18,18
"ID_24",2016-02-18,163,11,11
"ID_24",2016-03-21,195,6,6
"ID_25",2015-12-28,111,22,22
"ID_25",2016-01-21,135,14,14
"ID_25",2016-02-18,163,8,8
"ID_25",2016-03-21,195,8,8
"ID_26",2015-12-28,111,19,15
"ID_26",2016-01-21,135,18,18
"ID_26",2016-02-18,163,16,16
"ID_26",2016-03-21,195,7,7
"ID_27",2015-12-28,111,23,23
"ID_27",2016-01-21,135,19,19
"ID_27",2016-02-18,163,7,7
"ID_27",2016-03-21,195,4,10
"ID_28",2015-12-28,111,9,9
"ID_28",2016-01-21,135,4,4
"ID_28",2016-02-18,163,4,9
"ID_28",2016-03-21,195,8,8
"ID_29",2015-12-28,111,18,18
"ID_29",2016-01-21,135,15,15
"ID_29",2016-02-18,163,6,6
"ID_29",2016-03-21,195,6,10
"ID_3",2015-12-28,111,15,15
"ID_3",2016-01-21,135,21,21
"ID_3",2016-02-18,163,24,24
"ID_3",2016-03-21,195,15,15
"ID_30",2015-12-28,111,20,20
"ID_30",2016-01-21,135,12,12
"ID_30",2016-02-18,163,7,7
"ID_30",2016-03-21,195,5,5
"ID_32",2015-12-28,111,21,21
"ID_32",2016-01-21,135,19,19
"ID_32",2016-02-18,163,18,18
"ID_32",2016-03-21,195,10,10
"ID_34",2015-12-28,111,18,11
"ID_34",2016-01-21,135,19,19
"ID_34",2016-02-18,163,9,9
"ID_34",2016-03-21,195,6,6
"ID_35",2015-12-28,111,15,15
"ID_35",2016-01-21,135,7,7
"ID_35",2016-02-18,163,5,15
"ID_35",2016-03-21,195,7,7
"ID_36",2015-12-28,111,17,13
"ID_36",2016-01-21,135,29,29
"ID_36",2016-02-18,163,9,9
"ID_36",2016-03-21,195,8,8
"ID_37",2015-12-28,111,22,22
"ID_37",2016-01-21,135,11,11
"ID_37",2016-02-18,163,5,16
"ID_37",2016-03-21,195,9,9
"ID_38",2015-12-28,111,24,24
"ID_38",2016-01-21,135,19,19
"ID_38",2016-02-18,163,8,8
"ID_38",2016-03-21,195,1,11
"ID_39",2015-12-28,111,23,17
"ID_39",2016-01-21,135,21,21
"ID_39",2016-02-18,163,16,16
"ID_39",2016-03-21,195,12,12
"ID_4",2015-12-28,111,22,22
"ID_4",2016-01-21,135,8,8
"ID_4",2016-02-18,163,8,8
"ID_4",2016-03-21,195,4,10
"ID_40",2015-12-28,111,19,19
"ID_40",2016-01-21,135,12,12
"ID_40",2016-02-18,163,14,15
"ID_40",2016-03-21,195,11,11
"ID_41",2015-12-28,111,18,21
"ID_41",2016-01-21,135,23,23
"ID_41",2016-02-18,163,14,14
"ID_41",2016-03-21,195,4,4
"ID_42",2015-12-28,111,20,20
"ID_42",2016-01-21,135,6,6
"ID_42",2016-02-18,163,7,7
"ID_42",2016-03-21,195,6,8
"ID_45",2015-12-28,111,24,24
"ID_45",2016-01-21,135,21,21
"ID_45",2016-02-18,163,17,17
"ID_45",2016-03-21,195,10,10
"ID_47",2015-12-28,111,20,20
"ID_47",2016-01-21,135,23,23
"ID_47",2016-02-18,163,14,14
"ID_47",2016-03-21,195,10,10
"ID_48",2015-12-28,111,20,20
"ID_48",2016-01-21,135,20,20
"ID_48",2016-02-18,163,17,17
"ID_48",2016-03-21,195,13,13
"ID_49",2015-12-28,111,21,18
"ID_49",2016-01-21,135,25,25
"ID_49",2016-02-18,163,22,22
"ID_49",2016-03-21,195,14,14
"ID_50",2015-12-28,111,10,17
"ID_50",2016-01-21,135,18,18
"ID_50",2016-02-18,163,18,18
"ID_50",2016-03-21,195,10,10
"ID_51",2015-12-28,111,24,24
"ID_51",2016-01-21,135,6,6
"ID_51",2016-02-18,163,14,14
"ID_51",2016-03-21,195,14,14
"ID_52",2015-12-28,111,20,20
"ID_52",2016-01-21,135,7,7
"ID_52",2016-02-18,163,8,12
"ID_52",2016-03-21,195,10,10
"ID_53",2015-12-28,111,20,17
"ID_53",2016-01-21,135,23,23
"ID_53",2016-02-18,163,6,6
"ID_53",2016-03-21,195,7,13
"ID_55",2015-12-28,111,14,14
"ID_55",2016-01-21,135,6,6
"ID_55",2016-02-18,163,11,12
"ID_55",2016-03-21,195,5,5
"ID_56",2015-12-28,111,25,17
"ID_56",2016-01-21,135,18,18
"ID_56",2016-02-18,163,4,4
"ID_56",2016-03-21,195,4,9
"ID_57",2015-12-28,111,20,19
"ID_57",2016-01-21,135,23,23
"ID_57",2016-02-18,163,9,9
"ID_57",2016-03-21,195,4,11
"ID_58",2015-12-28,111,16,15
"ID_58",2016-01-21,135,21,21
"ID_58",2016-02-18,163,20,20
"ID_58",2016-03-21,195,12,12
"ID_59",2015-12-28,111,16,16
"ID_59",2016-01-21,135,12,12
"ID_59",2016-02-18,163,8,8
"ID_59",2016-03-21,195,9,12
"ID_6",2015-12-28,111,24,13
"ID_6",2016-01-21,135,19,19
"ID_6",2016-02-18,163,12,12
"ID_6",2016-03-21,195,8,8
"ID_60",2015-12-28,111,21,18
"ID_60",2016-01-21,135,26,26
"ID_60",2016-02-18,163,12,12
"ID_60",2016-03-21,195,9,9
"ID_61",2015-12-28,111,19,19
"ID_61",2016-01-21,135,20,20
"ID_61",2016-02-18,163,14,14
"ID_61",2016-03-21,195,4,15
"ID_62",2015-12-28,111,18,13
"ID_62",2016-01-21,135,14,14
"ID_62",2016-02-18,163,9,9
"ID_62",2016-03-21,195,6,14
"ID_63",2015-12-28,111,14,14
"ID_63",2016-01-21,135,16,16
"ID_63",2016-02-18,163,4,4
"ID_63",2016-03-21,195,4,9
"ID_64",2015-12-28,111,23,19
"ID_64",2016-01-21,135,20,20
"ID_64",2016-02-18,163,11,11
"ID_64",2016-03-21,195,8,8
"ID_65",2015-12-28,111,25,25
"ID_65",2016-01-21,135,6,6
"ID_65",2016-02-18,163,6,6
"ID_65",2016-03-21,195,4,4
"ID_67",2015-12-28,111,21,21
"ID_67",2016-01-21,135,8,8
"ID_67",2016-02-18,163,5,5
"ID_67",2016-03-21,195,6,10
"ID_68",2015-12-28,111,20,20
"ID_68",2016-01-21,135,15,15
"ID_68",2016-02-18,163,6,6
"ID_68",2016-03-21,195,5,7
"ID_69",2015-12-28,111,15,5
"ID_69",2016-01-21,135,6,6
"ID_69",2016-02-18,163,4,4
"ID_69",2016-03-21,195,6,5
"ID_7",2015-12-28,111,20,21
"ID_7",2016-01-21,135,30,30
"ID_7",2016-02-18,163,11,11
"ID_7",2016-03-21,195,10,10
"ID_72",2015-12-28,111,6,6
"ID_72",2016-01-21,135,7,7
"ID_72",2016-02-18,163,8,8
"ID_72",2016-03-21,195,2,2
"ID_73",2015-12-28,111,25,18
"ID_73",2016-01-21,135,20,20
"ID_73",2016-02-18,163,11,11
"ID_73",2016-03-21,195,7,7
"ID_74",2015-12-28,111,21,21
"ID_74",2016-01-21,135,10,10
"ID_74",2016-02-18,163,6,6
"ID_74",2016-03-21,195,6,6
"ID_75",2015-12-28,111,10,10
"ID_75",2016-01-21,135,4,4
"ID_75",2016-02-18,163,7,9
"ID_75",2016-03-21,195,4,4
"ID_76",2015-12-28,111,15,15
"ID_76",2016-01-21,135,9,9
"ID_76",2016-02-18,163,4,4
"ID_76",2016-03-21,195,1,1
"ID_77",2015-12-28,111,20,20
"ID_77",2016-01-21,135,5,5
"ID_77",2016-02-18,163,16,11
"ID_77",2016-03-21,195,4,4
"ID_78",2015-12-28,111,21,21
"ID_78",2016-01-21,135,13,13
"ID_78",2016-02-18,163,13,13
"ID_78",2016-03-21,195,6,6
"ID_79",2015-12-28,111,15,18
"ID_79",2016-01-21,135,22,22
"ID_79",2016-02-18,163,14,14
"ID_79",2016-03-21,195,11,11
"ID_8",2015-12-28,111,19,20
"ID_8",2016-01-21,135,23,23
"ID_8",2016-02-18,163,14,14
"ID_8",2016-03-21,195,6,20
"ID_80",2015-12-28,111,26,16
"ID_80",2016-01-21,135,22,22
"ID_80",2016-02-18,163,15,15
"ID_80",2016-03-21,195,8,8
