"ID","date","days","lobe_n","lobe_n_raw"
"ID_41",2015-12-28,111,1,1
"ID_41",2016-01-21,135,1,1
"ID_41",2016-02-18,163,16,16
"ID_41",2016-03-21,195,16,11
"ID_42",2015-12-28,111,0,0
"ID_42",2016-01-21,135,7,7
"ID_42",2016-02-18,163,14,14
"ID_42",2016-03-21,195,14,14
"ID_45",2015-12-28,111,0,0
"ID_45",2016-01-21,135,0,0
"ID_45",2016-02-18,163,5,5
"ID_45",2016-03-21,195,13,13
"ID_47",2015-12-28,111,0,0
"ID_47",2016-01-21,135,0,0
"ID_47",2016-02-18,163,6,6
"ID_47",2016-03-21,195,9,9
"ID_48",2015-12-28,111,0,0
"ID_48",2016-01-21,135,1,1
"ID_48",2016-02-18,163,6,6
"ID_48",2016-03-21,195,12,12
"ID_49",2015-12-28,111,2,2
"ID_49",2016-01-21,135,6,0
"ID_49",2016-02-18,163,10,10
"ID_49",2016-03-21,195,11,11
"ID_50",2015-12-28,111,1,1
"ID_50",2016-01-21,135,7,0
"ID_50",2016-02-18,163,13,13
"ID_50",2016-03-21,195,13,13
"ID_51",2015-12-28,111,3,3
"ID_51",2016-01-21,135,18,18
"ID_51",2016-02-18,163,18,10
"ID_51",2016-03-21,195,18,11
"ID_52",2015-12-28,111,14,14
"ID_52",2016-01-21,135,14,13
"ID_52",2016-02-18,163,14,12
"ID_52",2016-03-21,195,14,12
"ID_53",2015-12-28,111,0,0
"ID_53",2016-01-21,135,20,20
"ID_53",2016-02-18,163,20,14
"ID_53",2016-03-21,195,20,9
"ID_55",2015-12-28,111,5,5
"ID_55",2016-01-21,135,8,8
"ID_55",2016-02-18,163,13,13
"ID_55",2016-03-21,195,13,7
"ID_56",2015-12-28,111,0,0
"ID_56",2016-01-21,135,1,1
"ID_56",2016-02-18,163,7,7
"ID_56",2016-03-21,195,10,10
"ID_57",2015-12-28,111,0,0
"ID_57",2016-01-21,135,0,0
"ID_57",2016-02-18,163,13,13
"ID_57",2016-03-21,195,13,11
"ID_58",2015-12-28,111,0,0
"ID_58",2016-01-21,135,0,0
"ID_58",2016-02-18,163,3,3
"ID_58",2016-03-21,195,13,13
"ID_59",2015-12-28,111,2,2
"ID_59",2016-01-21,135,7,7
"ID_59",2016-02-18,163,12,12
"ID_59",2016-03-21,195,12,7
"ID_6",2015-12-28,111,0,0
"ID_6",2016-01-21,135,0,0
"ID_6",2016-02-18,163,9,9
"ID_6",2016-03-21,195,10,10
"ID_60",2015-12-28,111,0,0
"ID_60",2016-01-21,135,0,0
"ID_60",2016-02-18,163,11,11
"ID_60",2016-03-21,195,13,13
"ID_61",2015-12-28,111,0,0
"ID_61",2016-01-21,135,0,0
"ID_61",2016-02-18,163,11,11
"ID_61",2016-03-21,195,11,10
"ID_62",2015-12-28,111,0,0
"ID_62",2016-01-21,135,0,0
"ID_62",2016-02-18,163,7,7
"ID_62",2016-03-21,195,7,5
"ID_63",2015-12-28,111,3,3
"ID_63",2016-01-21,135,8,2
"ID_63",2016-02-18,163,14,14
"ID_63",2016-03-21,195,14,12
"ID_64",2015-12-28,111,0,0
"ID_64",2016-01-21,135,0,0
"ID_64",2016-02-18,163,16,16
"ID_64",2016-03-21,195,16,13
"ID_65",2015-12-28,111,0,0
"ID_65",2016-01-21,135,11,11
"ID_65",2016-02-18,163,15,15
"ID_65",2016-03-21,195,15,12
"ID_67",2015-12-28,111,0,0
"ID_67",2016-01-21,135,8,8
"ID_67",2016-02-18,163,14,14
"ID_67",2016-03-21,195,14,8
"ID_68",2015-12-28,111,0,0
"ID_68",2016-01-21,135,1,1
"ID_68",2016-02-18,163,9,9
"ID_68",2016-03-21,195,9,9
"ID_69",2015-12-28,111,5,5
"ID_69",2016-01-21,135,5,3
"ID_69",2016-02-18,163,5,3
"ID_69",2016-03-21,195,5,5
"ID_7",2015-12-28,111,0,0
"ID_7",2016-01-21,135,0,0
"ID_7",2016-02-18,163,17,17
"ID_7",2016-03-21,195,17,15
"ID_72",2015-12-28,111,5,5
"ID_72",2016-01-21,135,7,7
"ID_72",2016-02-18,163,7,7
"ID_72",2016-03-21,195,7,6
"ID_73",2015-12-28,111,0,0
"ID_73",2016-01-21,135,0,0
"ID_73",2016-02-18,163,14,14
"ID_73",2016-03-21,195,14,11
"ID_74",2015-12-28,111,0,0
"ID_74",2016-01-21,135,7,7
"ID_74",2016-02-18,163,7,7
"ID_74",2016-03-21,195,7,7
"ID_75",2015-12-28,111,5,5
"ID_75",2016-01-21,135,6,4
"ID_75",2016-02-18,163,7,7
"ID_75",2016-03-21,195,7,6
"ID_76",2015-12-28,111,4,4
"ID_76",2016-01-21,135,9,9
"ID_76",2016-02-18,163,10,10
"ID_76",2016-03-21,195,10,8
"ID_77",2015-12-28,111,0,0
"ID_77",2016-01-21,135,9,9
"ID_77",2016-02-18,163,9,8
"ID_77",2016-03-21,195,9,8
"ID_78",2015-12-28,111,0,0
"ID_78",2016-01-21,135,2,2
"ID_78",2016-02-18,163,16,16
"ID_78",2016-03-21,195,16,11
"ID_79",2015-12-28,111,0,0
"ID_79",2016-01-21,135,3,3
"ID_79",2016-02-18,163,13,13
"ID_79",2016-03-21,195,13,9
"ID_8",2015-12-28,111,0,0
"ID_8",2016-01-21,135,0,0
"ID_8",2016-02-18,163,10,10
"ID_8",2016-03-21,195,10,10
"ID_80",2015-12-28,111,2,2
"ID_80",2016-01-21,135,7,0
"ID_80",2016-02-18,163,12,12
"ID_80",2016-03-21,195,12,8
"ID_81",2015-12-28,111,0,0
"ID_81",2016-01-21,135,9,9
"ID_81",2016-02-18,163,9,9
"ID_81",2016-03-21,195,9,9
"ID_82",2015-12-28,111,0,0
"ID_82",2016-01-21,135,0,0
"ID_82",2016-02-18,163,11,11
"ID_82",2016-03-21,195,11,6
"ID_84",2015-12-28,111,0,0
"ID_84",2016-01-21,135,14,14
"ID_84",2016-02-18,163,14,12
"ID_84",2016-03-21,195,14,12
"ID_85",2015-12-28,111,2,2
"ID_85",2016-01-21,135,8,8
"ID_85",2016-02-18,163,8,8
"ID_85",2016-03-21,195,10,10
"ID_86",2015-12-28,111,0,0
"ID_86",2016-01-21,135,0,0
"ID_86",2016-02-18,163,16,16
"ID_86",2016-03-21,195,18,18
"ID_87",2015-12-28,111,0,0
"ID_87",2016-01-21,135,0,0
"ID_87",2016-02-18,163,16,16
"ID_87",2016-03-21,195,16,15
"ID_88",2015-12-28,111,0,0
"ID_88",2016-01-21,135,8,8
"ID_88",2016-02-18,163,10,7
"ID_88",2016-03-21,195,13,13
"ID_89",2015-12-28,111,0,0
"ID_89",2016-01-21,135,0,0
"ID_89",2016-02-18,163,11,11
"ID_89",2016-03-21,195,11,8
"ID_9",2015-12-28,111,0,0
"ID_9",2016-01-21,135,2,2
"ID_9",2016-02-18,163,17,17
"ID_9",2016-03-21,195,17,12
"ID_90",2015-12-28,111,0,0
"ID_90",2016-01-21,135,0,0
"ID_90",2016-02-18,163,8,8
"ID_90",2016-03-21,195,9,9
"ID_91",2015-12-28,111,0,0
"ID_91",2016-01-21,135,0,0
"ID_91",2016-02-18,163,11,11
"ID_91",2016-03-21,195,12,12
"ID_92",2015-12-28,111,0,0
"ID_92",2016-01-21,135,0,0
"ID_92",2016-02-18,163,13,13
"ID_92",2016-03-21,195,14,14
"ID_94",2015-12-28,111,0,0
"ID_94",2016-01-21,135,9,9
"ID_94",2016-02-18,163,11,11
"ID_94",2016-03-21,195,11,9
"ID_95",2015-12-28,111,6,6
"ID_95",2016-01-21,135,9,9
"ID_95",2016-02-18,163,12,12
"ID_95",2016-03-21,195,12,11
"ID_96",2015-12-28,111,4,4
"ID_96",2016-01-21,135,10,10
"ID_96",2016-02-18,163,12,12
"ID_96",2016-03-21,195,12,11
"ID_98",2015-12-28,111,0,0
"ID_98",2016-01-21,135,8,8
"ID_98",2016-02-18,163,12,12
"ID_98",2016-03-21,195,19,19
"ID_99",2015-12-28,111,0,0
"ID_99",2016-01-21,135,10,10
"ID_99",2016-02-18,163,10,8
"ID_99",2016-03-21,195,10,7
