ID,date,days,lobe_n
ID_3,12/28/15,111,0
ID_3,1/21/16,135,0
ID_3,2/18/16,163,0
ID_3,3/21/16,195,8
ID_30,12/28/15,111,0
ID_30,1/21/16,135,9
ID_30,2/18/16,163,16
ID_30,3/21/16,195,16
ID_32,12/28/15,111,0
ID_32,1/21/16,135,0
ID_32,2/18/16,163,9
ID_32,3/21/16,195,10
ID_34,12/28/15,111,4
ID_34,1/21/16,135,6
ID_34,2/18/16,163,8
ID_34,3/21/16,195,10
ID_35,12/28/15,111,3
ID_35,1/21/16,135,8
ID_35,2/18/16,163,9
ID_35,3/21/16,195,11
ID_36,12/28/15,111,5
ID_36,1/21/16,135,6
ID_36,2/18/16,163,8
ID_36,3/21/16,195,8
ID_37,12/28/15,111,0
ID_37,1/21/16,135,13
ID_37,2/18/16,163,13
ID_37,3/21/16,195,14
ID_38,12/28/15,111,1
ID_38,1/21/16,135,8
ID_38,2/18/16,163,17
ID_38,3/21/16,195,17
ID_39,12/28/15,111,0
ID_39,1/21/16,135,0
ID_39,2/18/16,163,4
ID_39,3/21/16,195,8
ID_4,12/28/15,111,9
ID_4,1/21/16,135,11
ID_4,2/18/16,163,15
ID_4,3/21/16,195,15
ID_40,12/28/15,111,0
ID_40,1/21/16,135,13
ID_40,2/18/16,163,13
ID_40,3/21/16,195,13
ID_41,12/28/15,111,1
ID_41,1/21/16,135,1
ID_41,2/18/16,163,16
ID_41,3/21/16,195,16
ID_42,12/28/15,111,0
ID_42,1/21/16,135,7
ID_42,2/18/16,163,14
ID_42,3/21/16,195,14
ID_45,12/28/15,111,0
ID_45,1/21/16,135,0
ID_45,2/18/16,163,5
ID_45,3/21/16,195,13
ID_47,12/28/15,111,0
ID_47,1/21/16,135,0
ID_47,2/18/16,163,6
ID_47,3/21/16,195,9
ID_48,12/28/15,111,0
ID_48,1/21/16,135,1
ID_48,2/18/16,163,6
ID_48,3/21/16,195,12
ID_49,12/28/15,111,2
ID_49,1/21/16,135,6
ID_49,2/18/16,163,10
ID_49,3/21/16,195,11
ID_50,12/28/15,111,1
ID_50,1/21/16,135,7
ID_50,2/18/16,163,13
ID_50,3/21/16,195,13
ID_51,12/28/15,111,3
ID_51,1/21/16,135,18
ID_51,2/18/16,163,18
ID_51,3/21/16,195,18
ID_52,12/28/15,111,14
ID_52,1/21/16,135,14
ID_52,2/18/16,163,14
ID_52,3/21/16,195,14
ID_53,12/28/15,111,0
ID_53,1/21/16,135,20
ID_53,2/18/16,163,20
ID_53,3/21/16,195,20
ID_55,12/28/15,111,5
ID_55,1/21/16,135,8
ID_55,2/18/16,163,13
ID_55,3/21/16,195,13
ID_56,12/28/15,111,0
ID_56,1/21/16,135,1
ID_56,2/18/16,163,7
ID_56,3/21/16,195,10
ID_57,12/28/15,111,0
ID_57,1/21/16,135,0
ID_57,2/18/16,163,13
ID_57,3/21/16,195,13
ID_58,12/28/15,111,0
ID_58,1/21/16,135,0
ID_58,2/18/16,163,3
ID_58,3/21/16,195,13
ID_59,12/28/15,111,2
ID_59,1/21/16,135,7
ID_59,2/18/16,163,12
ID_59,3/21/16,195,12
ID_6,12/28/15,111,0
ID_6,1/21/16,135,0
ID_6,2/18/16,163,9
ID_6,3/21/16,195,10
ID_60,12/28/15,111,0
ID_60,1/21/16,135,0
ID_60,2/18/16,163,11
ID_60,3/21/16,195,13
ID_61,12/28/15,111,0
ID_61,1/21/16,135,0
ID_61,2/18/16,163,11
ID_61,3/21/16,195,11
ID_62,12/28/15,111,0
ID_62,1/21/16,135,0
ID_62,2/18/16,163,7
ID_62,3/21/16,195,7
ID_63,12/28/15,111,3
ID_63,1/21/16,135,8
ID_63,2/18/16,163,14
ID_63,3/21/16,195,14
ID_64,12/28/15,111,0
ID_64,1/21/16,135,0
ID_64,2/18/16,163,16
ID_64,3/21/16,195,16
ID_65,12/28/15,111,0
ID_65,1/21/16,135,11
ID_65,2/18/16,163,15
ID_65,3/21/16,195,15
ID_67,12/28/15,111,0
ID_67,1/21/16,135,8
ID_67,2/18/16,163,14
ID_67,3/21/16,195,14
ID_68,12/28/15,111,0
ID_68,1/21/16,135,1
ID_68,2/18/16,163,9
ID_68,3/21/16,195,9
ID_69,12/28/15,111,5
ID_69,1/21/16,135,5
ID_69,2/18/16,163,5
ID_69,3/21/16,195,5
ID_7,12/28/15,111,0
ID_7,1/21/16,135,0
ID_7,2/18/16,163,17
ID_7,3/21/16,195,17
ID_72,12/28/15,111,5
ID_72,1/21/16,135,7
ID_72,2/18/16,163,7
ID_72,3/21/16,195,7
ID_73,12/28/15,111,0
ID_73,1/21/16,135,0
ID_73,2/18/16,163,14
ID_73,3/21/16,195,14
ID_74,12/28/15,111,0
ID_74,1/21/16,135,7
ID_74,2/18/16,163,7
ID_74,3/21/16,195,7
ID_75,12/28/15,111,5
ID_75,1/21/16,135,6
ID_75,2/18/16,163,7
ID_75,3/21/16,195,7
ID_76,12/28/15,111,4
ID_76,1/21/16,135,9
ID_76,2/18/16,163,10
ID_76,3/21/16,195,10
ID_77,12/28/15,111,0
ID_77,1/21/16,135,9
ID_77,2/18/16,163,9
ID_77,3/21/16,195,9
ID_78,12/28/15,111,0
ID_78,1/21/16,135,2
ID_78,2/18/16,163,16
ID_78,3/21/16,195,16
ID_79,12/28/15,111,0
ID_79,1/21/16,135,3
ID_79,2/18/16,163,13
ID_79,3/21/16,195,13
ID_8,12/28/15,111,0
ID_8,1/21/16,135,0
ID_8,2/18/16,163,10
ID_8,3/21/16,195,10
ID_80,12/28/15,111,2
ID_80,1/21/16,135,7
ID_80,2/18/16,163,12
ID_80,3/21/16,195,12
ID_81,12/28/15,111,0
ID_81,1/21/16,135,9
ID_81,2/18/16,163,9
ID_81,3/21/16,195,9
ID_82,12/28/15,111,0
ID_82,1/21/16,135,0
ID_82,2/18/16,163,11
ID_82,3/21/16,195,11
ID_84,12/28/15,111,0
ID_84,1/21/16,135,14
ID_84,2/18/16,163,14
ID_84,3/21/16,195,14
ID_85,12/28/15,111,2
ID_85,1/21/16,135,8
ID_85,2/18/16,163,8
ID_85,3/21/16,195,10
ID_86,12/28/15,111,0
ID_86,1/21/16,135,0
ID_86,2/18/16,163,16
ID_86,3/21/16,195,18
ID_87,12/28/15,111,0
ID_87,1/21/16,135,0
ID_87,2/18/16,163,16
ID_87,3/21/16,195,16
ID_88,12/28/15,111,0
ID_88,1/21/16,135,8
ID_88,2/18/16,163,10
ID_88,3/21/16,195,13
ID_89,12/28/15,111,0
ID_89,1/21/16,135,0
ID_89,2/18/16,163,11
ID_89,3/21/16,195,11
ID_9,12/28/15,111,0
ID_9,1/21/16,135,2
ID_9,2/18/16,163,17
ID_9,3/21/16,195,17
ID_90,12/28/15,111,0
ID_90,1/21/16,135,0
ID_90,2/18/16,163,8
ID_90,3/21/16,195,9
ID_91,12/28/15,111,0
ID_91,1/21/16,135,0
ID_91,2/18/16,163,11
ID_91,3/21/16,195,12
ID_92,12/28/15,111,0
ID_92,1/21/16,135,0
ID_92,2/18/16,163,13
ID_92,3/21/16,195,14
ID_94,12/28/15,111,0
ID_94,1/21/16,135,9
ID_94,2/18/16,163,11
ID_94,3/21/16,195,11
ID_95,12/28/15,111,6
ID_95,1/21/16,135,9
ID_95,2/18/16,163,12
ID_95,3/21/16,195,12
ID_96,12/28/15,111,4
ID_96,1/21/16,135,10
ID_96,2/18/16,163,12
ID_96,3/21/16,195,12
ID_98,12/28/15,111,0
ID_98,1/21/16,135,8
ID_98,2/18/16,163,12
ID_98,3/21/16,195,19
ID_99,12/28/15,111,0
ID_99,1/21/16,135,10
ID_99,2/18/16,163,10
ID_99,3/21/16,195,10
Da_Ol1,12/28/15,111,6
Da_Ol1,1/21/16,135,7
Da_Ol1,2/18/16,163,8
Da_Ol1,3/21/16,195,9
Da_Ae,12/28/15,111,0
Da_Ae,1/21/16,135,3
Da_Ae,2/18/16,163,18
Da_Ae,3/21/16,195,19
F1,12/28/15,111,0
F1,1/21/16,135,2
F1,2/18/16,163,6
F1,3/21/16,195,11
