ID,date,days,height
ID_180,1/20/16,134,28
ID_180,2/17/16,162,50
ID_180,3/16/16,190,123
ID_180,5/13/16,248,125
ID_181,12/18/15,101,13
ID_181,1/20/16,134,60
ID_181,2/17/16,162,74
ID_181,3/16/16,190,89
ID_181,5/13/16,248,125
ID_186,12/18/15,101,14
ID_186,1/20/16,134,42
ID_186,2/17/16,162,109
ID_186,3/16/16,190,126
ID_186,5/13/16,248,144
ID_189,12/18/15,101,19
ID_189,1/20/16,134,46
ID_189,2/17/16,162,127
ID_189,3/16/16,190,158
ID_189,5/13/16,248,171
ID_19,12/18/15,101,10
ID_19,1/20/16,134,29
ID_19,2/17/16,162,132
ID_19,3/16/16,190,139
ID_19,5/13/16,248,153
ID_191,12/18/15,101,32
ID_191,1/20/16,134,94
ID_191,2/17/16,162,146
ID_191,3/16/16,190,194
ID_191,5/13/16,248,213
ID_192,12/18/15,101,20
ID_192,1/20/16,134,29
ID_192,2/17/16,162,37
ID_192,3/16/16,190,40
ID_192,5/13/16,248,73
ID_197,12/18/15,101,13
ID_197,1/20/16,134,42
ID_197,2/17/16,162,104
ID_197,3/16/16,190,118
ID_197,5/13/16,248,153
ID_198,12/18/15,101,11
ID_198,1/20/16,134,49
ID_198,2/17/16,162,54
ID_198,3/16/16,190,126
ID_198,5/13/16,248,135
ID_199,12/18/15,101,16
ID_199,1/20/16,134,47
ID_199,2/17/16,162,135
ID_199,3/16/16,190,150
ID_199,5/13/16,248,175
ID_2,12/18/15,101,21
ID_2,1/20/16,134,36
ID_2,2/17/16,162,136
ID_2,3/16/16,190,168
ID_2,5/13/16,248,212
ID_20,12/18/15,101,13
ID_20,1/20/16,134,41
ID_20,2/17/16,162,43
ID_20,3/16/16,190,176
ID_20,5/13/16,248,176
ID_201,12/18/15,101,14
ID_201,1/20/16,134,64
ID_201,2/17/16,162,105
ID_201,3/16/16,190,139
ID_201,5/13/16,248,175
ID_202,12/18/15,101,18
ID_202,1/20/16,134,45
ID_202,2/17/16,162,105
ID_202,3/16/16,190,112
ID_202,5/13/16,248,128
ID_207,12/18/15,101,13
ID_207,1/20/16,134,45
ID_207,2/17/16,162,50
ID_207,3/16/16,190,107
ID_207,5/13/16,248,130
ID_208,12/18/15,101,11
ID_208,1/20/16,134,40
ID_208,2/17/16,162,62
ID_208,3/16/16,190,123
ID_208,5/13/16,248,177
ID_21,12/18/15,101,15
ID_21,1/20/16,134,63
ID_21,2/17/16,162,135
ID_21,3/16/16,190,170
ID_21,5/13/16,248,170
ID_212,12/18/15,101,14
ID_212,1/20/16,134,52
ID_212,2/17/16,162,130
ID_212,3/16/16,190,172
ID_212,5/13/16,248,172
ID_214,12/18/15,101,15
ID_214,1/20/16,134,39
ID_214,2/17/16,162,107
ID_214,3/16/16,190,141
ID_214,5/13/16,248,170
ID_217,12/18/15,101,13
ID_217,1/20/16,134,30
ID_217,2/17/16,162,67
ID_217,3/16/16,190,96
ID_217,5/13/16,248,120
ID_223,12/18/15,101,15
ID_223,1/20/16,134,52
ID_223,2/17/16,162,101
ID_223,3/16/16,190,150
ID_223,5/13/16,248,150
ID_224,12/18/15,101,17
ID_224,1/20/16,134,29
ID_224,2/17/16,162,36
ID_224,3/16/16,190,105
ID_224,5/13/16,248,125
ID_227,12/18/15,101,13
ID_227,1/20/16,134,45
ID_227,2/17/16,162,76
ID_227,3/16/16,190,125
ID_227,5/13/16,248,129
ID_23,12/18/15,101,13
ID_23,1/20/16,134,32
ID_23,2/17/16,162,48
ID_23,3/16/16,190,155
ID_23,5/13/16,248,158
ID_231,12/18/15,101,14
ID_231,1/20/16,134,39
ID_231,2/17/16,162,130
ID_231,3/16/16,190,133
ID_231,5/13/16,248,140
ID_234,12/18/15,101,11
ID_234,1/20/16,134,28
ID_234,2/17/16,162,41
ID_234,3/16/16,190,137
ID_234,5/13/16,248,137
ID_24,12/18/15,101,13
ID_24,1/20/16,134,42
ID_24,2/17/16,162,133
ID_24,3/16/16,190,144
ID_24,5/13/16,248,177
ID_25,12/18/15,101,16
ID_25,1/20/16,134,34
ID_25,2/17/16,162,120
ID_25,3/16/16,190,142
ID_25,5/13/16,248,153
ID_26,12/18/15,101,13
ID_26,1/20/16,134,34
ID_26,2/17/16,162,125
ID_26,3/16/16,190,165
ID_26,5/13/16,248,191
ID_27,12/18/15,101,15
ID_27,1/20/16,134,41
ID_27,2/17/16,162,129
ID_27,3/16/16,190,166
ID_27,5/13/16,248,177
ID_28,12/18/15,101,9
ID_28,1/20/16,134,38
ID_28,2/17/16,162,74
ID_28,3/16/16,190,150
ID_28,5/13/16,248,213
ID_29,12/18/15,101,15
ID_29,1/20/16,134,43
ID_29,2/17/16,162,108
ID_29,3/16/16,190,167
ID_29,5/13/16,248,190
ID_3,12/18/15,101,11
ID_3,1/20/16,134,38
ID_3,2/17/16,162,116
ID_3,3/16/16,190,162
ID_3,5/13/16,248,162
ID_30,12/18/15,101,12
ID_30,1/20/16,134,33
ID_30,2/17/16,162,138
ID_30,3/16/16,190,147
ID_30,5/13/16,248,160
ID_32,12/18/15,101,14
ID_32,1/20/16,134,40
ID_32,2/17/16,162,124
ID_32,3/16/16,190,145
ID_32,5/13/16,248,182
ID_34,12/18/15,101,10
ID_34,1/20/16,134,51
ID_34,2/17/16,162,99
ID_34,3/16/16,190,150
ID_34,5/13/16,248,172
ID_35,12/18/15,101,12
ID_35,1/20/16,134,40
ID_35,2/17/16,162,82
ID_35,3/16/16,190,158
ID_35,5/13/16,248,165
ID_36,12/18/15,101,14
ID_36,1/20/16,134,52
ID_36,2/17/16,162,126
ID_36,3/16/16,190,167
ID_36,5/13/16,248,185
ID_37,12/18/15,101,18
ID_37,1/20/16,134,41
ID_37,2/17/16,162,103
ID_37,3/16/16,190,160
